iter	Passed	Remaining
935	8754	598
936	8763	589
937	8772	579
938	8781	570
939	8791	561
940	8799	551
941	8807	542
942	8814	532
943	8822	523
944	8831	514
945	8839	504
946	8846	495
947	8854	485
948	8862	476
949	8870	466
950	8877	457
951	8883	447
952	8891	438
953	8900	429
954	8909	419
955	8917	410
956	8925	401
957	8933	391
958	8942	382
959	8950	372
960	8960	363
961	8968	354
962	8977	344
963	8986	335
964	8994	326
965	9002	316
966	9012	307
967	9021	298
968	9030	288
969	9040	279
970	9048	270
971	9058	260
972	9068	251
973	9078	242
974	9086	232
975	9096	223
976	9105	214
977	9114	205
978	9122	195
979	9133	186
980	9142	177
981	9151	167
982	9158	158
983	9166	149
984	9174	139
985	9183	130
986	9193	121
987	9201	111
988	9211	102
989	9220	93
990	9228	83
991	9236	74
992	9244	65
993	9253	55
994	9261	46
995	9268	37
996	9275	27
997	9286	18
998	9295	9
999	9303	0
